episode,reward,q-online-value,q-target-value
1,21.0,0.008070103137288242,0.010887933119665832
2,18.0,0.02035027280449867,0.011643081262736815
3,8.0,0.015273580439388751,0.00569511414738372
4,18.0,0.04135208919644356,0.009884008280932903
5,24.0,0.052596601769328115,0.01210518579435302
6,40.0,0.09652475684881211,0.009624790357192978
7,28.0,0.10472354754805564,0.012814564290456474
8,14.0,0.0851701158285141,0.011694796639494598
9,19.0,0.08359744757413864,0.009733563587069512
10,24.0,0.12462771326303482,0.014927968289703131
11,19.0,0.09784336477518081,0.010518158436752856
12,20.0,0.09989862591028213,0.010149909844622017
13,11.0,0.06518386006355285,0.00956896560266614
14,10.0,0.05893494606018066,0.008168138116598129
15,15.0,0.08211532920598984,0.009508678405545652
16,15.0,0.09144066631793976,0.011642207261174917
17,18.0,0.10853608131408692,0.011119892106216866
18,12.0,0.07501545548439026,0.01176397890318185
19,13.0,0.07823886811733245,0.011083429077407345
20,10.0,0.05835285842418671,0.008404021924361587
21,11.0,0.06478222727775573,0.009409315511584282
22,11.0,0.06674811899662018,0.010206105012912303
23,18.0,0.10199550092220307,0.010861013839021326
24,10.0,0.06051061689853668,0.009299601833336056
25,14.0,0.08499769091606141,0.012137587014585734
26,23.0,0.12865318059921266,0.010735585454385728
27,11.0,0.0670040088891983,0.008504203916527332
28,18.0,0.10079503238201142,0.007739990496775135
29,11.0,0.06700194835662841,0.008493325540330261
30,11.0,0.06442620813846588,0.008227143757976592
31,10.0,0.062613445520401,0.009290475146844984
32,13.0,0.0769827675819397,0.009983838410116732
33,12.0,0.07324879646301269,0.011705672594252974
34,9.0,0.05546307742595673,0.0092582762776874
35,9.0,0.05245487689971924,0.005897488826303743
36,19.0,0.10548130929470062,0.00773327918490395
37,13.0,0.07562758684158326,0.010088661247864365
38,10.0,0.05850048005580902,0.008065296085551382
39,12.0,0.06837335705757142,0.0064158742781728504
40,11.0,0.06849722981452942,0.012635327242314816
41,12.0,0.07094410955905914,0.010612464062869548
42,11.0,0.06543422102928162,0.010076409527100623
43,12.0,0.06929482698440552,0.008730218643322588
44,13.0,0.07328921854496002,0.00740849430905655
45,13.0,0.07822208344936371,0.01102318882010877
46,12.0,0.06916530907154084,0.007692285629455
47,9.0,0.054401208758354185,0.009660549028776586
48,14.0,0.08297936856746674,0.011270948762539774
49,14.0,0.08172823250293731,0.009791324296966195
50,10.0,0.059127216339111326,0.007316578931640834
51,12.0,0.07057748973369599,0.009828447233885526
52,9.0,0.054570393562316896,0.008858274673111738
