episode,reward,q-online-value,q-target-value
1,21.0,0.006844357119407504,0.0
2,37.0,0.031162203745916484,0.0
3,18.0,0.020272609144449234,0.0
4,35.0,0.05049495685845613,0.0
5,29.0,0.044783364310860635,0.0
6,28.0,0.05329498276114464,0.0
7,25.0,0.054547778144478795,0.0
8,11.0,0.04486370876431465,0.0
9,24.0,0.05408091381192207,0.0
10,31.0,0.07228144660592078,0.0
11,13.0,0.03839921161532402,0.0
12,14.0,0.04316373839974404,0.0
13,12.0,0.04413593605160713,0.0
14,15.0,0.08347943946719169,0.0
15,14.0,0.07818881541490555,0.0
16,23.0,0.09682559490203857,0.0
17,15.0,0.07065976679325103,0.0
18,15.0,0.0860176607966423,0.0
19,20.0,0.11163944095373153,0.0
20,14.0,0.06961157858371735,0.0
21,20.0,0.13339078277349473,0.0
22,18.0,0.10366090804338456,0.0
23,16.0,0.09610499411821366,0.0
24,14.0,0.1279197707772255,0.0
25,21.0,0.14455483257770538,0.0
26,16.0,0.1236653345823288,0.0
27,17.0,0.12329200327396393,0.0
28,19.0,0.15778583586215972,0.0
29,12.0,0.11486976981163025,0.0
30,32.0,0.3307831162214279,0.0
31,20.0,0.15449107706546783,0.0
32,27.0,0.2772463136911392,0.0
33,18.0,0.22118354737758636,0.0
34,15.0,0.2085005497932434,0.0
35,52.0,0.6684713691473008,0.0
36,70.0,1.2271698355674743,0.0
37,17.0,0.31985421776771544,0.0
38,22.0,0.31800466775894165,0.0
39,39.0,0.5527962124347687,0.0
40,15.0,0.2958631193637848,0.0
41,10.0,0.2961272609233856,0.0
42,20.0,0.34581559896469116,0.0
43,19.0,0.4148185169696808,0.0
44,17.0,0.37169656753540037,0.0
45,15.0,0.3592449378967285,0.0
46,15.0,0.32477879524230957,0.0
47,14.0,0.30061609625816343,0.0
48,19.0,0.413356226682663,0.0
49,48.0,1.0632730031013489,0.0
50,14.0,0.37370081186294557,0.0
51,10.0,0.37267987489700316,0.0
52,10.0,0.40947574615478516,0.0
53,16.0,0.44174957036972046,0.0
54,11.0,0.29664663076400755,0.0
55,12.0,0.36496614694595336,0.0
56,20.0,0.4821934270858765,0.0
57,10.0,0.30613861083984373,0.0
58,12.0,0.379765522480011,0.0
59,15.0,0.4671069312095642,0.0
60,29.0,0.7512984418869019,0.0
61,23.0,0.5796765279769898,0.0
62,9.0,0.37908144235610963,0.0
63,26.0,0.818865270614624,0.0
64,23.0,0.6927112030982971,0.0
65,32.0,1.245279929637909,0.0
66,19.0,0.6090103650093078,0.0
67,16.0,0.699012086391449,0.0
68,11.0,0.4587238335609436,0.0
69,14.0,0.4812820148468018,0.0
70,25.0,0.8310141611099243,0.0
71,28.0,0.9010200190544129,0.0
72,37.0,1.5376759576797485,0.0
73,22.0,0.9263612699508667,0.0
74,13.0,0.6681553745269775,0.0
75,33.0,1.164958243370056,0.0
76,19.0,0.9412979364395142,0.0
77,18.0,0.7236610770225524,0.0
78,48.0,2.315220823287964,0.0
79,20.0,0.8595998406410217,0.0
80,19.0,0.9143905925750733,0.0
81,13.0,0.6034969472885132,0.0
82,22.0,1.043881368637085,0.0
83,21.0,1.0285207271575927,0.0
84,15.0,0.9178152370452881,0.0
85,15.0,0.8554064512252808,0.0
86,23.0,1.0404135847091676,0.0
87,12.0,0.6160075139999389,0.0
88,47.0,2.4261022281646727,0.0
89,20.0,1.2985652208328247,0.0
90,12.0,0.7141248369216919,0.0
91,51.0,2.8786776638031006,0.0
92,25.0,1.5090531969070435,0.0
93,13.0,0.7444717788696289,0.0
94,13.0,0.8787248611450196,0.0
95,19.0,1.3396851444244384,0.0
96,9.0,0.6145127058029175,0.0
97,12.0,0.7295129632949829,0.0
98,14.0,0.8339118337631226,0.0
99,22.0,1.5368004417419434,0.0
100,15.0,1.0744265747070312,0.0
101,23.0,1.3362657451629638,0.0
102,46.0,3.061559181213379,0.0
103,15.0,1.1413473796844482,0.0
104,17.0,1.3380797958374024,0.0
105,15.0,0.9507287645339966,0.0
106,10.0,0.9041499423980713,0.0
107,20.0,1.625649971961975,0.0
108,17.0,1.0729068851470946,0.0
109,16.0,1.2556452941894531,0.0
110,9.0,0.8470390176773072,0.0
111,14.0,0.9869894695281982,0.0
112,21.0,1.6769746732711792,0.0
113,23.0,1.8077425575256347,0.0
114,42.0,3.2350808286666872,0.0
115,31.0,2.1995278215408325,0.0
116,40.0,2.949730224609375,0.0
117,35.0,3.1055470371246336,0.0
118,13.0,1.0151295709609984,0.0
119,11.0,1.0986514043807984,0.0
120,13.0,0.9791094398498535,0.0
121,51.0,4.6930610466003415,0.0
122,33.0,2.9098079013824463,0.0
123,11.0,0.8289046144485473,0.0
124,27.0,2.5364142560958864,0.0
125,20.0,1.9061170768737794,0.0
126,28.0,2.3785742568969725,0.0
127,15.0,1.6433349657058716,0.0
128,16.0,1.6331699085235596,0.0
129,15.0,1.6567500305175782,0.0
130,10.0,0.8257823896408081,0.0
131,26.0,2.688277187347412,0.0
132,32.0,3.4172012519836428,0.0
133,26.0,2.8155469131469726,0.0
134,18.0,1.984919033050537,0.0
135,36.0,3.7381994009017943,0.0
136,11.0,0.9531634664535522,0.0
137,17.0,1.4952011394500733,0.0
138,14.0,1.7091727828979493,0.0
139,13.0,1.7032847118377685,0.0
