epoch,q-online-value,q-target-value
1,0.035370756689189875,0.007220601706649177
2,0.11593231512233615,0.00819688469346147
3,0.22470496664755046,0.009173167680273764
4,0.3299346752464771,0.00783077857340686
5,0.47043919190764427,0.008440955440164544
6,0.6045073908753693,0.008318920066813007
7,0.74001295119524,0.008685026186867617
8,0.8742289077490568,0.009173167680273764
9,0.9832923831418157,0.0092952030536253
10,1.0312656601890922,0.008685026186867617
11,1.075212518684566,0.009417238426976837
12,1.0865149646997452,0.009905379920382984
13,1.1266505662351847,0.565794273337815
14,1.356595354154706,1.0917986948043108
15,1.5749545153230429,1.0881960019469261
16,1.7643266934901476,1.0785888209939003
17,1.9604144506156445,1.0809906162321568
18,2.0719719007611275,1.0797897186130285
19,2.1138386372476816,1.0833924114704132
