episode,steps,reward,q-online-value,q-target-value
1,11,11.0,0.006796192959882319,-0.0007022813078947365
2,27,27.0,0.029279142014544318,-0.0007022813078947365
3,37,37.0,0.06400678477979996,-0.0007022813078947365
4,20,20.0,0.09955260716378689,-0.0007022813078947365
5,15,15.0,0.12428135698040327,-0.0007022813078947365
6,29,29.0,0.15722968686243582,-0.0007022813078947365
7,11,11.0,0.18860676342790778,-0.0007022813078947365
8,17,17.0,0.21135875933310566,-0.0007022813078947365
9,17,17.0,0.2400859568048926,-0.0007022813078947365
10,10,10.0,0.2636734649538994,-0.0007022813078947365
11,22,22.0,0.2923770865256136,-0.0007022813078947365
12,12,12.0,0.3239438446859519,-0.0007022813078947365
13,15,15.0,0.34945709705352784,-0.0007022813078947365
14,30,30.0,0.3938729221622149,-0.0007022813078947365
15,89,89.0,0.5149526016765766,-0.0007022813078947365
16,23,23.0,0.618858268727427,-0.0007022813078947365
17,18,18.0,0.6577510668171777,-0.0007022813078947365
18,17,17.0,0.6934430967358982,-0.0007022813078947365
19,16,16.0,0.7286342140287161,-0.0007022813078947365
20,12,12.0,0.7550371885299683,-0.0007022813078947365
21,13,13.0,0.7792884822075183,-0.0007022813078947365
22,19,19.0,0.8074555506831721,-0.0007022813078947365
23,12,12.0,0.8342782035470009,-0.0007022813078947365
24,15,15.0,0.8574859817822774,-0.0007022813078947365
25,18,18.0,0.8865286211172739,-0.0007022813078947365
26,12,12.0,0.9133078679442406,-0.0007022813078947365
27,14,14.0,0.9339146592787334,-0.0007022813078947365
28,14,14.0,0.9547719444547381,-0.0007022813078947365
29,14,14.0,0.9728175550699234,-0.0007022813078947365
30,11,11.0,0.9871229827404022,-0.0007022813078947365
31,16,16.0,0.9977427143603563,-0.0007022813078947365
32,13,13.0,1.0084279431746557,-0.0007022813078947365
33,11,11.0,1.0193851752714678,-0.0007022813078947365
34,14,14.0,1.0278545745781489,-0.0007022813078947365
35,10,10.0,1.0338112890720368,-0.0007022813078947365
36,10,10.0,1.041929268836975,-0.0007022813078947365
37,13,13.0,1.0470539652384245,-0.0007022813078947365
38,13,13.0,1.0525896411675673,-0.0007022813078947365
39,9,9.0,1.0526601473490398,-0.0007022813078947365
40,9,9.0,1.0594255924224854,-0.0007022813078947365
41,16,16.0,1.0629915371537209,-0.0007022813078947365
42,41,41.0,1.068274694245036,-0.0007022813078947365
43,16,16.0,1.0743679776787758,-0.0007022813078947365
44,13,13.0,1.077569727714245,-0.0007022813078947365
45,11,11.0,1.0862608281048862,0.4900171596832065
46,13,13.0,1.1391509587948139,1.078880488872528
47,11,11.0,1.182775995948098,1.078880488872528
48,11,11.0,1.219773444262418,1.078880488872528
49,11,11.0,1.2567832199009983,1.078880488872528
50,12,12.0,1.296440675854683,1.078880488872528
51,15,15.0,1.3418012619018556,1.078880488872528
52,13,13.0,1.388639890230619,1.078880488872528
53,14,14.0,1.4356238160814558,1.078880488872528
54,12,12.0,1.4800508220990498,1.078880488872528
55,10,10.0,1.518174558877945,1.078880488872528
56,12,12.0,1.5563240597645442,1.078880488872528
57,9,9.0,1.591813604036967,1.078880488872528
58,11,11.0,1.6260116696357727,1.078880488872528
59,11,11.0,1.664752342484214,1.078880488872528
60,13,13.0,1.7055296806188731,1.078880488872528
61,10,10.0,1.7415251851081848,1.078880488872528
62,10,10.0,1.7731849133968354,1.078880488872528
63,10,10.0,1.804171508550644,1.078880488872528
64,11,11.0,1.8367492773316123,1.078880488872528
65,8,8.0,1.8652793988585472,1.078880488872528
66,10,10.0,1.8877706587314607,1.078880488872528
67,9,9.0,1.9087847073872883,1.078880488872528
68,14,14.0,1.9420717528888158,1.078880488872528
69,12,12.0,1.9694755027691524,1.078880488872528
70,10,10.0,1.9902646958827972,1.078880488872528
71,15,15.0,2.0092117826143903,1.078880488872528
72,20,20.0,2.0320166647434235,1.078880488872528
73,10,10.0,2.0503283739089966,1.078880488872528
74,14,14.0,2.0678696717534746,1.078880488872528
75,10,10.0,2.0827773094177244,1.078880488872528
76,10,10.0,2.0970508337020872,1.078880488872528
77,13,13.0,2.0990703931221595,1.078880488872528
78,11,11.0,2.106198050759055,1.078880488872528
79,10,10.0,2.1185858964920046,1.078880488872528
80,8,8.0,2.1236800998449326,1.078880488872528
81,9,9.0,2.129181636704339,1.078880488872528
82,12,12.0,2.1261896987756095,1.078880488872528
83,9,9.0,2.1292811499701605,1.078880488872528
84,12,12.0,2.1332924167315164,1.078880488872528
85,11,11.0,2.1364515261216597,1.078880488872528
86,9,9.0,2.1386163764529758,1.078880488872528
87,18,18.0,2.137784798940023,1.078880488872528
88,10,10.0,2.1482059836387633,1.078880488872528
89,11,11.0,2.146395271474665,1.078880488872528
90,14,14.0,2.1412093809672763,1.078880488872528
91,9,9.0,2.141270558039347,1.078880488872528
92,9,9.0,2.142094718085395,1.078880488872528
93,10,10.0,2.147570216655731,1.078880488872528
94,12,12.0,2.1419594089190164,1.078880488872528
95,11,11.0,2.1423129818656226,1.078880488872528
96,9,9.0,2.1514768335554333,1.078880488872528
97,10,10.0,2.1512245297431947,1.078880488872528
98,10,10.0,2.156626808643341,1.078880488872528
99,13,13.0,2.1596868404975305,1.078880488872528
100,12,12.0,2.153620640436808,1.078880488872528
101,9,9.0,2.1484842697779336,1.078880488872528
102,11,11.0,2.1561523459174414,1.078880488872528
103,17,17.0,2.153112909373115,1.078880488872528
104,10,10.0,2.151950013637543,1.078880488872528
105,10,10.0,2.141787958145142,1.078880488872528
106,9,9.0,2.1415224737591214,1.078880488872528
107,12,12.0,2.1534377137819924,1.078880488872528
108,12,12.0,2.1634726425011954,1.078880488872528
109,10,10.0,2.1673317074775698,1.078880488872528
110,14,14.0,2.162933588027954,1.078880488872528
111,17,17.0,2.1638767579022575,1.078880488872528
112,11,11.0,2.166310050270774,1.078880488872528
113,11,11.0,2.164197900078513,1.078880488872528
114,11,11.0,2.167885346846147,1.078880488872528
115,9,9.0,2.167901794115702,1.2000496917300754
116,10,10.0,2.216713571548462,2.169403314590454
117,9,9.0,2.2696621417999268,2.169403314590454
118,11,11.0,2.3150845766067505,2.169403314590454
119,11,11.0,2.3632915995337744,2.169403314590454
120,10,10.0,2.409801018238068,2.169403314590454
121,8,8.0,2.44844613969326,2.169403314590454
122,10,10.0,2.4872357845306396,2.169403314590454
123,9,9.0,2.528772923681471,2.169403314590454
124,10,10.0,2.5717514991760253,2.169403314590454
125,10,10.0,2.615359532833099,2.169403314590454
126,9,9.0,2.656850073072645,2.169403314590454
127,10,10.0,2.6973617911338805,2.169403314590454
128,13,13.0,2.7483284014921923,2.169403314590454
129,10,10.0,2.793360114097595,2.169403314590454
130,9,9.0,2.8346512847476535,2.169403314590454
131,12,12.0,2.881377706925074,2.169403314590454
132,10,10.0,2.9212648391723635,2.169403314590454
133,9,9.0,2.9528912703196206,2.169403314590454
134,11,11.0,2.980495344508778,2.169403314590454
135,9,9.0,3.0146918296813965,2.169403314590454
136,10,10.0,3.0421246767044066,2.169403314590454
137,10,10.0,3.067246901988983,2.169403314590454
138,8,8.0,3.0843039453029633,2.169403314590454
139,10,10.0,3.084116721153259,2.169403314590454
140,9,9.0,3.1051730049981012,2.169403314590454
141,10,10.0,3.1178433537483214,2.169403314590454
142,10,10.0,3.138375723361969,2.169403314590454
143,12,12.0,3.1602478126684823,2.169403314590454
144,8,8.0,3.1597745418548584,2.169403314590454
145,9,9.0,3.1510009898079767,2.169403314590454
146,11,11.0,3.171657085418701,2.169403314590454
147,12,12.0,3.1806675692399344,2.169403314590454
148,13,13.0,3.188960148737981,2.169403314590454
149,10,10.0,3.196512258052826,2.169403314590454
150,11,11.0,3.195216655731201,2.169403314590454
151,9,9.0,3.198950913217333,2.169403314590454
152,11,11.0,3.1930093440142544,2.169403314590454
153,11,11.0,3.199144255031239,2.169403314590454
154,9,9.0,3.210414899720086,2.169403314590454
155,11,11.0,3.2205957716161553,2.169403314590454
156,8,8.0,3.2132431715726852,2.169403314590454
157,19,19.0,3.2221217720132125,2.169403314590454
158,9,9.0,3.2185501390033298,2.169403314590454
159,11,11.0,3.2316682880575005,2.169403314590454
160,9,9.0,3.2330773803922863,2.169403314590454
161,10,10.0,3.2192975282669067,2.169403314590454
162,12,12.0,3.2218258579572043,2.169403314590454
163,13,13.0,3.2350548689181986,2.169403314590454
164,9,9.0,3.2269560760921903,2.169403314590454
165,10,10.0,3.240170955657959,2.169403314590454
166,10,10.0,3.2408422350883486,2.169403314590454
167,10,10.0,3.236124336719513,2.169403314590454
168,10,10.0,3.24509437084198,2.169403314590454
169,9,9.0,3.2442715962727866,2.169403314590454
170,11,11.0,3.242490280758251,2.169403314590454
171,9,9.0,3.250277492735121,2.169403314590454
172,10,10.0,3.2534149527549743,2.169403314590454
173,9,9.0,3.246797309981452,2.169403314590454
174,10,10.0,3.2461585640907287,2.169403314590454
175,11,11.0,3.239882295781916,2.169403314590454
176,10,10.0,3.2475779175758364,2.169403314590454
177,12,12.0,3.254023472468058,2.169403314590454
178,10,10.0,3.2608680844306948,2.169403314590454
179,10,10.0,3.2673237562179565,2.169403314590454
180,10,10.0,3.2542413115501403,2.169403314590454
181,10,10.0,3.245755660533905,2.169403314590454
182,12,12.0,3.250757028659185,2.169403314590454
183,10,10.0,3.2586430311203003,2.169403314590454
184,11,11.0,3.2546248977834527,2.169403314590454
185,10,10.0,3.2466969013214113,2.169403314590454
186,10,10.0,3.263718843460083,2.169403314590454
187,9,9.0,3.2663981252246432,2.169403314590454
188,10,10.0,3.2620099902153017,2.169403314590454
189,11,11.0,3.258575450290333,2.169403314590454
190,10,10.0,3.2503230214118957,2.169403314590454
191,13,13.0,3.2626063181803775,2.169403314590454
192,10,10.0,3.2550328731536866,2.169403314590454
193,12,12.0,3.2621933023134866,2.5341593424479165
194,13,13.0,3.3543538313645582,3.263671398162842
195,9,9.0,3.421220209863451,3.263671398162842
196,10,10.0,3.4690580010414123,3.263671398162842
197,11,11.0,3.5216788920489224,3.263671398162842
198,11,11.0,3.5769112326882104,3.263671398162842
199,10,10.0,3.6295221567153932,3.263671398162842
200,14,14.0,3.69159996509552,3.263671398162842
201,9,9.0,3.7513706816567316,3.263671398162842
202,8,8.0,3.7949648648500443,3.263671398162842
203,10,10.0,3.8412829637527466,3.263671398162842
204,11,11.0,3.8947504433718594,3.263671398162842
205,10,10.0,3.9409032821655274,3.263671398162842
206,12,12.0,3.987146625916163,3.263671398162842
207,11,11.0,4.027879953384399,3.263671398162842
208,8,8.0,4.065778464078903,3.263671398162842
209,9,9.0,4.0979909499486284,3.263671398162842
210,10,10.0,4.12506070137024,3.263671398162842
211,9,9.0,4.156411992179023,3.263671398162842
212,9,9.0,4.171164141760932,3.263671398162842
213,13,13.0,4.1926957827347975,3.263671398162842
214,9,9.0,4.216892136467828,3.263671398162842
215,8,8.0,4.225348174571991,3.263671398162842
216,8,8.0,4.2312308847904205,3.263671398162842
217,11,11.0,4.225554813038219,3.263671398162842
218,11,11.0,4.231191591783003,3.263671398162842
219,10,10.0,4.256367659568786,3.263671398162842
220,10,10.0,4.257908177375794,3.263671398162842
221,10,10.0,4.268249273300171,3.263671398162842
222,13,13.0,4.263933878678542,3.263671398162842
223,10,10.0,4.27363395690918,3.263671398162842
224,11,11.0,4.259129264137962,3.263671398162842
225,12,12.0,4.281378865242004,3.263671398162842
226,9,9.0,4.29184012942844,3.263671398162842
227,9,9.0,4.302742534213596,3.263671398162842
228,8,8.0,4.297310084104538,3.263671398162842
229,9,9.0,4.2931761211819115,3.263671398162842
230,11,11.0,4.293784206563776,3.263671398162842
231,11,11.0,4.2949487512761895,3.263671398162842
232,9,9.0,4.297108146879408,3.263671398162842
233,13,13.0,4.302614487134493,3.263671398162842
234,9,9.0,4.316827456156413,3.263671398162842
235,9,9.0,4.32260979546441,3.263671398162842
236,9,9.0,4.3305989901224775,3.263671398162842
237,11,11.0,4.322789538990367,3.263671398162842
238,9,9.0,4.316134081946479,3.263671398162842
239,8,8.0,4.31784525513649,3.263671398162842
240,8,8.0,4.330809146165848,3.263671398162842
241,9,9.0,4.32751104566786,3.263671398162842
242,10,10.0,4.330647993087768,3.263671398162842
243,11,11.0,4.336293870752508,3.263671398162842
244,8,8.0,4.331383854150772,3.263671398162842
245,9,9.0,4.32357202635871,3.263671398162842
246,9,9.0,4.31971459918552,3.263671398162842
247,9,9.0,4.328618394003974,3.263671398162842
248,10,10.0,4.336648416519165,3.263671398162842
249,9,9.0,4.3307106494903564,3.263671398162842
250,8,8.0,4.333179205656052,3.263671398162842
251,10,10.0,4.336570167541504,3.263671398162842
252,9,9.0,4.330530272589789,3.263671398162842
253,10,10.0,4.3223308801651,3.263671398162842
254,10,10.0,4.341848969459534,3.263671398162842
255,10,10.0,4.3268660545349125,3.263671398162842
256,10,10.0,4.326075530052185,3.263671398162842
257,9,9.0,4.324775616327922,3.263671398162842
258,11,11.0,4.331423195925626,3.263671398162842
259,9,9.0,4.340079598956638,3.263671398162842
260,10,10.0,4.343476819992065,3.263671398162842
261,9,9.0,4.346251381768121,3.263671398162842
262,12,12.0,4.364057421684265,3.263671398162842
263,10,10.0,4.359792017936707,3.263671398162842
264,8,8.0,4.353303402662277,3.263671398162842
265,9,9.0,4.346489959292942,3.263671398162842
266,10,10.0,4.345976614952088,3.263671398162842
267,9,9.0,4.335899035135905,3.263671398162842
268,10,10.0,4.338857913017273,3.263671398162842
269,9,9.0,4.3418100410037574,3.263671398162842
270,11,11.0,4.330282731489702,3.263671398162842
271,9,9.0,4.328496323691474,3.263671398162842
272,8,8.0,4.336331725120544,3.263671398162842
273,10,10.0,4.347885870933533,3.263671398162842
274,9,9.0,4.356484068764581,3.263671398162842
275,8,8.0,4.395340442657471,4.2219670712947845
276,10,10.0,4.474095296859741,4.358866453170776
277,9,9.0,4.537106699413723,4.358866453170776
278,11,11.0,4.5983968431299385,4.358866453170776
279,9,9.0,4.653382751676771,4.358866453170776
280,10,10.0,4.708354473114014,4.358866453170776
281,9,9.0,4.765064080556233,4.358866453170776
282,9,9.0,4.817131969663832,4.358866453170776
283,9,9.0,4.868387487199572,4.358866453170776
284,9,9.0,4.9189995129903155,4.358866453170776
285,9,9.0,4.9687643845876055,4.358866453170776
286,9,9.0,5.017516692479451,4.358866453170776
287,10,10.0,5.06482150554657,4.358866453170776
288,9,9.0,5.110018703672621,4.358866453170776
289,10,10.0,5.14937527179718,4.358866453170776
290,8,8.0,5.183543831110001,4.358866453170776
291,9,9.0,5.2136415640513105,4.358866453170776
292,10,10.0,5.23455593585968,4.358866453170776
293,8,8.0,5.258704423904419,4.358866453170776
294,11,11.0,5.277919747612693,4.358866453170776
295,11,11.0,5.30726939981634,4.358866453170776
296,13,13.0,5.315029474405142,4.358866453170776
297,11,11.0,5.317005504261363,4.358866453170776
298,14,14.0,5.3223631381988525,4.358866453170776
299,12,12.0,5.33812552690506,4.358866453170776
300,11,11.0,5.359665567224676,4.358866453170776
301,9,9.0,5.352187554041545,4.358866453170776
302,9,9.0,5.338041067123413,4.358866453170776
303,10,10.0,5.3436143636703495,4.358866453170776
304,11,11.0,5.3497937592593106,4.358866453170776
305,10,10.0,5.367921757698059,4.358866453170776
306,9,9.0,5.373917765087551,4.358866453170776
307,13,13.0,5.379321024968074,4.358866453170776
308,13,13.0,5.3857511557065525,4.358866453170776
309,11,11.0,5.397876674478704,4.358866453170776
310,10,10.0,5.404223132133484,4.358866453170776
311,13,13.0,5.403393305264986,4.358866453170776
312,36,36.0,5.4051678909195795,4.358866453170776
313,13,13.0,5.396445182653574,4.358866453170776
314,15,15.0,5.398104349772136,4.358866453170776
315,18,18.0,5.396747655338711,4.358866453170776
316,14,14.0,5.408865315573556,4.358866453170776
317,30,30.0,5.409510215123494,4.358866453170776
318,15,15.0,5.414182488123576,4.358866453170776
319,34,34.0,5.4056136257508225,4.358866453170776
320,38,38.0,5.4048946154745,4.358866453170776
321,28,28.0,5.405373930931091,4.358866453170776
322,30,30.0,5.409940322240193,4.358866453170776
323,36,36.0,5.39782002237108,4.358866453170776
324,40,40.0,5.401698446273803,4.358866453170776
325,20,20.0,5.398089897632599,4.358866453170776
326,25,25.0,5.4040319442749025,4.358866453170776
327,32,32.0,5.406826987862587,4.358866453170776
328,41,41.0,5.588302426221894,5.3764990539085575
329,35,35.0,5.852206298283169,5.401939868927002
330,38,38.0,6.0804916557512785,5.401939868927002
331,44,44.0,6.276451425118879,5.401939868927002
332,31,31.0,6.339642916956255,5.401939868927002
333,39,39.0,6.360679070154826,5.401939868927002
334,54,54.0,6.366435567537944,5.401939868927002
335,33,33.0,6.394995826663393,5.401939868927002
336,36,36.0,6.39154855410258,5.401939868927002
337,60,60.0,6.394068388144175,5.401939868927002
338,33,33.0,6.388073386568012,5.401939868927002
339,56,56.0,6.397298519100461,5.401939868927002
340,52,52.0,6.39966512643374,5.401939868927002
341,58,58.0,6.403915281953482,5.401939868927002
342,130,130.0,6.398221048941979,5.401939868927002
343,200,200.0,6.780323009490967,6.093115326166153
344,41,41.0,7.338509175835586,6.396436929702759
345,61,61.0,7.366722720568298,6.396436929702759
346,45,45.0,7.365603028403388,6.396436929702759
347,36,36.0,7.3692613111601935,6.396436929702759
348,77,77.0,7.385182306363985,6.396436929702759
349,126,126.0,7.382327198982239,6.396436929702759
350,89,89.0,7.37821681311961,6.396436929702759
351,39,39.0,7.376292772782155,6.396436929702759
352,73,73.0,7.370975242902155,6.396436929702759
353,49,49.0,7.373029003337938,6.396436929702759
354,42,42.0,7.412684241930644,6.786410365785871
355,35,35.0,7.712390988213675,7.359900712966919
356,49,49.0,8.035416306281576,7.359900712966919
357,80,80.0,8.283048874139785,7.359900712966919
358,126,126.0,8.323385586814275,7.359900712966919
359,102,102.0,8.320267008800133,7.359900712966919
360,73,73.0,8.325708578710687,7.359900712966919
361,109,109.0,8.325315274229837,7.359900712966919
362,49,49.0,8.320236877519257,7.359900712966919
363,44,44.0,8.320173176852139,7.359900712966919
364,67,67.0,8.321878276654143,7.359900712966919
365,64,64.0,8.345096744596958,7.585530314594507
366,47,47.0,8.738576331037157,8.322587013244629
367,128,128.0,9.198124196380377,8.322587013244629
368,41,41.0,9.269718228316888,8.322587013244629
369,62,62.0,9.27304933917138,8.322587013244629
370,50,50.0,9.27241096496582,8.322587013244629
371,72,72.0,9.275359782907698,8.322587013244629
372,114,114.0,9.276751309110407,8.322587013244629
373,43,43.0,9.270711277806482,8.322587013244629
374,51,51.0,9.259327925887762,8.322587013244629
375,66,66.0,9.263692306749748,8.322587013244629
376,50,50.0,9.277410402297974,8.322587013244629
377,116,116.0,9.418089299366391,8.759585927272665
378,94,94.0,10.073192520344511,9.24425745010376
379,54,54.0,10.172571650257817,9.24425745010376
380,81,81.0,10.178493629267185,9.24425745010376
381,71,71.0,10.182961604964564,9.24425745010376
382,111,111.0,10.18632865596462,9.24425745010376
383,110,110.0,10.186113786697387,9.24425745010376
384,62,62.0,10.184342484320364,9.24425745010376
