episode,reward,q-online-value,q-target-value
1,23.0,0.007143205478787423,0.011019784880336374
2,18.0,0.011108215050771832,0.01144976652227342
3,10.0,0.009685395807027817,0.01466477575711906
4,21.0,0.02145178981125355,0.021513474150560798
5,52.0,0.046610404625535014,0.022455494944006206
6,26.0,0.04755416311323643,0.02031831642612815
7,18.0,0.034925826713442805,0.011758143231272698
8,33.0,0.07531710907816887,0.022184619028121234
9,15.0,0.03683066874742508,0.008000133163295686
10,44.0,0.12163412570953369,0.022341714268550278
11,19.0,0.05276610434055328,0.01038110240828246
12,22.0,0.07556655213236808,0.012373660122975708
13,27.0,0.09389241084456444,0.013873477769084274
14,22.0,0.08630625575780869,0.01150516523513943
15,26.0,0.08788930863142014,0.01170473345555365
16,33.0,0.13745292961597444,0.015953049096278846
17,36.0,0.1531957334280014,0.015519865322858095
18,21.0,0.13008115708827972,0.022491436889395117
19,30.0,0.15393062114715575,0.018978225882165134
20,21.0,0.1154033175110817,0.010352568635717034
21,20.0,0.13044086545705796,0.020071071041747927
22,12.0,0.09418174773454666,0.017471915809437633
23,12.0,0.07875808238983155,0.009925237325951457
24,11.0,0.06877679407596587,0.008416756768710912
25,10.0,0.08197102308273316,0.01619250656105578
26,9.0,0.062389097809791565,0.008979824390262365
27,10.0,0.06309869229793548,0.008348803501576185
28,12.0,0.07720271408557892,0.010760078276507556
29,10.0,0.08058947324752808,0.01835102144628763
30,10.0,0.06279276192188263,0.008753691790625453
31,10.0,0.060987349152565005,0.008416829756461084
32,11.0,0.0686845338344574,0.009848859298508615
33,12.0,0.08355008065700531,0.017488573875743894
34,9.0,0.07180996716022492,0.018625780548900364
35,12.0,0.07883310258388519,0.015731100868433715
36,10.0,0.061606991887092594,0.009882363742217421
37,12.0,0.08889576733112335,0.023039823481813073
38,14.0,0.09638447523117065,0.02350533550605178
39,9.0,0.06164802253246307,0.015159151628613471
40,12.0,0.07925106227397918,0.016204525385983288
41,17.0,0.10693399488925934,0.01909415137139149
42,13.0,0.08561889946460724,0.02020826153457165
43,13.0,0.08570712924003601,0.022785884300246834
44,11.0,0.07028894305229187,0.015388605203479528
45,9.0,0.06438277184963226,0.0567742117960006
46,11.0,0.083168266415596,0.0765270209312439
47,10.0,0.08128033995628357,0.07180928170681
48,12.0,0.09453927755355834,0.08079896867275238
49,13.0,0.11094126701354981,0.09006811499595642
50,11.0,0.09420719265937805,0.07373600661754608
51,10.0,0.09295169055461884,0.07010641753673554
52,12.0,0.10938323438167571,0.0807940000295639
53,11.0,0.10157685995101928,0.07316871285438538
54,11.0,0.11054231584072113,0.0758269339799881
55,11.0,0.10897824466228485,0.07480026423931121
56,14.0,0.14625838458538054,0.0975816923379898
57,11.0,0.11573815703392029,0.07496709764003753
58,8.0,0.08516285181045533,0.05491814136505127
59,10.0,0.10349378228187561,0.0660632187128067
60,11.0,0.11403106987476348,0.07297852396965027
61,10.0,0.10236769914627075,0.05935900926589966
62,12.0,0.12164471089839936,0.07632073760032654
63,11.0,0.11550606548786163,0.07133456110954285
64,10.0,0.11012132585048676,0.06809535920619965
65,13.0,0.1420758670568466,0.08764232039451599
66,18.0,0.1835421621799469,0.11221134543418884
67,13.0,0.14233966767787934,0.08714675426483154
68,9.0,0.09763015270233154,0.05943494081497192
69,12.0,0.1325743728876114,0.08090184271335601
70,15.0,0.16549581170082092,0.09865894854068756
71,14.0,0.15317734479904174,0.09040197730064392
72,12.0,0.13326050877571105,0.07883658230304719
73,10.0,0.11565118551254272,0.07183065056800843
74,9.0,0.10440021157264709,0.06308492958545685
75,13.0,0.14928911089897157,0.08849786520004273
76,10.0,0.11091769576072692,0.06517971396446227
77,10.0,0.11646464943885804,0.07061780095100403
78,11.0,0.12345936059951783,0.07565203070640564
79,17.0,0.18563235759735108,0.11031061172485351
80,11.0,0.12349551320075988,0.07312808096408845
81,13.0,0.14382025480270386,0.08644458889961243
82,11.0,0.12635093092918395,0.07599585592746734
83,12.0,0.13738608717918396,0.08146343350410462
84,13.0,0.14718647480010985,0.08917978644371033
85,11.0,0.12523348450660707,0.07548794806003571
86,11.0,0.1224740982055664,0.0740603232383728
87,10.0,0.11348367810249328,0.07137963771820069
88,9.0,0.10209326386451721,0.06338083982467652
89,13.0,0.14638172149658202,0.08893014132976532
90,13.0,0.14898570895195007,0.08768721759319305
91,13.0,0.14486492037773133,0.08795244038105011
92,10.0,0.11331017017364502,0.07081658244132996
93,11.0,0.11317063271999359,0.06340985894203185
94,9.0,0.10385239005088806,0.06417009174823761
95,11.0,0.1260637867450714,0.07807663798332215
96,10.0,0.1161378014087677,0.07055876731872558
97,9.0,0.1029467236995697,0.06241264402866364
98,11.0,0.12361742615699768,0.07714862585067749
99,10.0,0.11273851990699768,0.06731409907341003
100,13.0,0.1471901571750641,0.08692162752151489
101,12.0,0.13729548573493958,0.08309695541858673
102,10.0,0.11134064435958863,0.06846405804157257
103,11.0,0.1242862319946289,0.0749873799085617
104,11.0,0.12444578051567078,0.07544770002365113
105,9.0,0.10165066242218018,0.06252122461795807
106,12.0,0.1365561318397522,0.07957974433898926
107,10.0,0.11409525394439697,0.07143212258815765
108,11.0,0.12495320677757263,0.07198411226272583
109,9.0,0.10087705492973327,0.060490630865097046
110,9.0,0.10360677719116211,0.0649720424413681
111,10.0,0.11654753804206848,0.07305409371852875
112,10.0,0.11440785884857178,0.06824956834316254
113,11.0,0.126780344247818,0.07304719865322112
114,10.0,0.11408995866775512,0.06880628168582917
115,14.0,0.15478893756866455,0.09325620770454407
116,11.0,0.1292655098438263,0.1043774926662445
117,8.0,0.08569319725036621,0.0830677318572998
118,12.0,0.15455451846122742,0.13836996912956237
119,13.0,0.1660230588912964,0.1447173237800598
120,11.0,0.1503468346595764,0.1257763671875
121,11.0,0.1548509681224823,0.12571226477622985
122,8.0,0.11175268292427062,0.09103670239448547
123,10.0,0.14524873375892638,0.11607284784317017
124,12.0,0.17269255876541137,0.13863665342330933
125,8.0,0.11623304963111877,0.09150673627853394
126,9.0,0.13089754223823546,0.1018097186088562
127,9.0,0.13202725410461424,0.10218934655189514
128,9.0,0.13051504373550415,0.10160823702812195
129,13.0,0.18620880722999572,0.1442991805076599
130,10.0,0.14820234060287477,0.11387413620948791
131,13.0,0.19119131684303284,0.14607353687286376
132,12.0,0.1806820237636566,0.13650181770324707
133,13.0,0.19394665956497192,0.1458680248260498
134,9.0,0.13454122543334962,0.10096325516700745
135,8.0,0.12038660645484925,0.0906928038597107
136,11.0,0.16717525482177734,0.12539955019950866
137,9.0,0.1343538534641266,0.1013680899143219
138,12.0,0.18272267103195192,0.13589364290237427
139,11.0,0.16557571411132813,0.12408092856407166
140,11.0,0.1688480031490326,0.1252126944065094
141,10.0,0.1518077826499939,0.11249581456184388
142,12.0,0.18203171014785766,0.13655570030212402
143,9.0,0.13744417428970337,0.10264034032821655
144,10.0,0.15010080575942994,0.11269175291061401
145,12.0,0.18656309843063354,0.13715566277503968
146,10.0,0.15197781085968018,0.11421419978141785
147,10.0,0.14911101698875429,0.11181016564369202
148,10.0,0.15051965475082396,0.11317082047462464
149,12.0,0.18299055218696594,0.13665105938911437
150,12.0,0.1794388234615326,0.13297829031944275
151,11.0,0.16847687244415283,0.12514200329780578
152,11.0,0.1661960983276367,0.12460697054862976
153,10.0,0.15111681461334228,0.11123425006866455
154,15.0,0.23077621698379516,0.1683645510673523
155,10.0,0.15528087854385375,0.11580629825592041
156,10.0,0.14832128167152406,0.11224940538406372
157,11.0,0.16756664752960204,0.12464478850364685
158,9.0,0.1358317565917969,0.10193829894065858
159,9.0,0.13490314960479735,0.10178100824356079
160,11.0,0.16907301306724548,0.12471908688545227
161,10.0,0.1470526158809662,0.11208154797554017
162,12.0,0.18267343044281006,0.13403589129447938
163,9.0,0.13673248767852783,0.10264577865600585
164,11.0,0.16942815780639647,0.1262177634239197
165,11.0,0.1622804296016693,0.12427817702293396
166,10.0,0.15554358720779418,0.11649305462837219
167,9.0,0.13996641635894774,0.10310351967811585
168,8.0,0.12258574724197388,0.09041568160057067
169,11.0,0.17270322918891906,0.12705739259719848
170,11.0,0.17063702702522276,0.12555025339126588
171,8.0,0.12215994834899903,0.09067182660102845
172,10.0,0.14870341777801513,0.11221864104270934
173,11.0,0.16844333887100219,0.12638441920280458
174,9.0,0.1334429705142975,0.10119238257408142
175,10.0,0.1505551493167877,0.1143428385257721
176,10.0,0.1535719132423401,0.11394937992095948
177,10.0,0.15290530800819396,0.1147799003124237
178,9.0,0.13677193760871886,0.10281323909759521
179,11.0,0.17025511264801024,0.12549545407295226
180,10.0,0.15857120275497436,0.11471554160118103
181,10.0,0.1560150384902954,0.11333395838737488
182,14.0,0.215178245306015,0.15707103729248048
183,8.0,0.12547306656837465,0.09137424230575561
184,8.0,0.12484620332717895,0.09135621666908264
185,9.0,0.1329672646522522,0.10115330576896668
