episode,reward,q-online-value,q-target-value
1,11.0,-0.0005370056303218007,0.008659766861819662
2,27.0,0.04590492436662316,0.001854048066015821
3,37.0,0.04470484094694257,0.0029190223570913078
4,20.0,0.03191726882010698,0.015111432170815533
5,15.0,0.023953940868377686,0.01402984293177724
6,29.0,0.045692352280020714,0.014935441993875429
7,11.0,0.03393676802515984,0.013903094542911276
8,17.0,0.039564254134893416,0.011652208622545004
9,17.0,0.05040844053030014,0.01387180590943899
10,10.0,0.03517289459705353,0.009984779907390474
11,22.0,0.06532625779509545,0.00196415115846321
12,12.0,0.0439757651090622,0.009833061657845974
13,15.0,0.054403969645500184,0.010570190963335335
14,30.0,0.08698256820440292,0.00797257901984267
15,89.0,0.5732417874038219,0.15759172801394017
16,23.0,0.10185880869627,0.013965392240788788
17,18.0,0.08075219631195069,0.010960992551408708
18,17.0,0.08534170120954514,0.013225224972702563
19,16.0,0.08399266511201858,0.013793718112865463
20,12.0,0.06141176640987396,0.010146067256573587
21,13.0,0.0700856414437294,0.011714286344358697
22,18.0,0.1009511461853981,0.013904787994979415
23,10.0,0.05624843806028366,0.010492303019273095
24,40.0,0.21804029136896133,0.019347104544285686
25,13.0,0.06992487788200379,0.009314448912627995
26,14.0,0.07142883390188218,0.008836685221176595
27,14.0,0.08023740112781524,0.012159501656133215
28,11.0,0.06197047084569931,0.011376042026095093
29,9.0,0.053759887516498565,-0.002486459438223392
30,13.0,0.07322347223758698,0.01281657777610235
31,13.0,0.07573511600494384,0.015263036894721154
32,11.0,0.06389146447181701,0.012505437065847218
33,28.0,0.14846322059631348,0.018421258962480352
34,11.0,0.06039501190185547,0.01036543388850987
35,22.0,0.12278991669416428,0.015963888050755486
36,10.0,0.05616982936859131,0.010901759299449622
37,14.0,0.07719854921102524,0.010463262192788534
38,10.0,0.05580795764923096,0.009488205257221126
39,13.0,0.0744979977607727,0.014794962136074901
40,14.0,0.0788385808467865,0.013872093386016787
41,11.0,0.06249132394790649,0.013239003745838999
42,12.0,0.06450634539127349,0.008951568373595365
43,9.0,0.05133652985095978,0.011635526788886637
44,15.0,0.0819273266196251,0.010839436720125377
45,15.0,0.08545894145965577,0.06581353170680813
46,10.0,0.06696549594402314,0.056488046646118166
47,8.0,0.055511921644210815,0.04479622662067413
48,12.0,0.08442445039749145,0.06609786748886108
49,10.0,0.08202863216400147,0.058277043104171755
50,13.0,0.10463331580162048,0.07331128716468811
51,11.0,0.09783787727355957,0.06320738852024078
52,11.0,0.09526528894901276,0.062056087851524354
53,11.0,0.09530868709087371,0.06053651809692383
54,19.0,0.16853587865829467,0.10568219453096389
55,10.0,0.09181064546108246,0.05550628900527954
56,11.0,0.10506727814674377,0.062032338976860044
57,13.0,0.12300994634628296,0.07282151460647583
58,9.0,0.08767146229743958,0.05019182145595551
59,10.0,0.103942249417305,0.05801921367645264
60,22.0,0.2006525933742523,0.11790116012096405
