episode,reward,q-online-value,q-target-value
1,11.0,-0.006713703915011138,0.008349994730670005
2,27.0,3.7498679012060164e-06,0.009810825614258646
3,13.0,0.010252353949472309,0.003087042812258005
4,19.0,0.017155955526977778,0.004358222209848463
5,26.0,0.026005508862435817,0.009349712831899525
6,28.0,0.05338907331228256,0.008905141558498144
7,29.0,0.0719168382883072,0.020610077916644515
8,11.0,0.03815588936209679,0.0027044533332809804
9,16.0,0.04432610437273979,0.0031060375459492206
10,37.0,0.11808489590883255,0.005088146441848949
11,10.0,0.04429249346256256,0.00244568673428148
12,15.0,0.06595789819955826,0.0031845128868008034
13,14.0,0.0682926857471466,0.0030229394545312972
14,16.0,0.07316370517015457,0.0016622116463258863
15,17.0,0.07307602524757385,0.0035711600817739963
16,19.0,0.08621091842651367,0.004722479954361916
17,16.0,0.07611162841320038,0.003510136832483113
18,8.0,0.043213518857955935,0.00226527813822031
19,9.0,0.04751116126775742,0.002683294047601521
20,15.0,0.07365495383739472,0.002677248710533604
21,38.0,0.1862375730276108,0.01084139043930918
22,10.0,0.05127004563808441,0.002476164661347866
23,11.0,0.05621400773525238,0.002110071680508554
24,11.0,0.05626978874206543,0.0026160178566351534
25,39.0,0.21284641027450563,0.012046912451041862
26,12.0,0.06099961549043655,0.0028982682432979346
27,11.0,0.06466250240802765,0.012026689974591135
28,35.0,0.18805350840091706,0.015019973241724074
29,17.0,0.09392264544963837,0.011184709779918194
30,14.0,0.07940468311309815,0.011932129811029882
31,15.0,0.08843232035636901,0.013907390367239713
32,16.0,0.09097292244434357,0.01164915982633829
33,27.0,0.15426229894161225,0.017240632483735682
34,11.0,0.06434150636196137,0.008628944684751332
35,19.0,0.11117436826229095,0.014995698700658977
36,18.0,0.10324980676174164,0.011649041045457125
37,12.0,0.07042637944221497,0.009543766370043158
38,11.0,0.06497338831424714,0.008757478492334485
39,14.0,0.08174081981182098,0.013557284343987704
40,15.0,0.08865322351455689,0.013231580355204641
41,13.0,0.0792097246646881,0.015007730601355433
42,12.0,0.06922041535377503,0.00900158847682178
43,10.0,0.06031478106975555,0.01004723409190774
44,9.0,0.05517935037612915,0.010219625103054568
45,11.0,0.06560631513595581,0.009396711380686611
46,16.0,0.0919291090965271,0.012839911827468313
47,15.0,0.08699759483337402,0.009750221013091505
48,17.0,0.10176040053367615,0.08113148518372328
49,12.0,0.0998720633983612,0.07511993110179901
50,12.0,0.1078803300857544,0.07501823246479035
51,10.0,0.10038307011127472,0.06350863218307495
52,11.0,0.09727484345436097,0.0553217688202858
53,20.0,0.17627580642700194,0.10128360390663146
54,11.0,0.11718384623527527,0.06848314940929413
55,14.0,0.13722983837127686,0.07247076570987701
56,10.0,0.10975932419300079,0.06304806768894196
57,12.0,0.12814465880393983,0.07442690074443817
58,10.0,0.10463762521743775,0.06025825202465057
59,9.0,0.09178017377853394,0.046609469056129456
60,11.0,0.11583215832710266,0.06686941862106323
61,10.0,0.10792865216732025,0.06281764924526215
62,15.0,0.14703160107135774,0.07680584460496903
63,9.0,0.08821909487247467,0.046389581561088564
64,11.0,0.11877107620239258,0.06757033526897431
65,16.0,0.1711103093624115,0.09713861465454102
66,10.0,0.10762831211090088,0.060612215399742125
67,13.0,0.13971253633499145,0.08016288340091705
68,11.0,0.11950988054275513,0.06608781814575196
69,8.0,0.08528180837631226,0.04970365524291992
70,9.0,0.0930631011724472,0.05560024857521057
71,16.0,0.16822912514209748,0.09551238715648651
72,11.0,0.11637197017669677,0.06785908341407776
73,9.0,0.0956551706790924,0.05653062283992767
74,9.0,0.09590581238269806,0.056664318442344666
75,10.0,0.10574399828910827,0.061466801762580875
76,8.0,0.08564166903495789,0.04898576557636261
77,13.0,0.13943007528781892,0.0790204006433487
78,15.0,0.1604548090696335,0.08964227020740509
79,11.0,0.1184660816192627,0.06654857873916625
80,11.0,0.11709261178970337,0.0688801908493042
81,24.0,0.2570322442054749,0.1404218828678131
82,14.0,0.15318533420562744,0.08587160110473632
83,14.0,0.15009313344955444,0.0858218765258789
84,9.0,0.097876638174057,0.05640861749649048
85,17.0,0.1845722198486328,0.10221362054347992
86,14.0,0.15331030607223511,0.08559457719326019
87,12.0,0.12780177354812622,0.07176628768444061
88,10.0,0.10483528733253479,0.06166104257106781
89,10.0,0.1070437878370285,0.06246719837188721
90,9.0,0.09315161764621735,0.05655677020549774
91,10.0,0.10476651906967163,0.06303300321102143
92,13.0,0.13703022241592408,0.08112703382968903
93,11.0,0.117693932056427,0.0673445439338684
94,10.0,0.10600286483764648,0.0641713160276413
95,12.0,0.12971447467803954,0.07332177698612213
96,10.0,0.10782261610031128,0.0623870712518692
97,10.0,0.1075430005788803,0.06364368557929993
98,8.0,0.08514573156833649,0.04937630534172058
99,14.0,0.1507854163646698,0.08412612497806549
100,14.0,0.1502630239725113,0.08610272943973542
101,9.0,0.09721740901470184,0.05614282250404358
102,9.0,0.09475431025028229,0.056285936236381534
103,10.0,0.10825786709785462,0.06181759297847748
104,9.0,0.08825556516647338,0.045998986959457394
105,8.0,0.08501951694488526,0.048911337852478025
106,12.0,0.12765368461608886,0.07378754615783692
107,10.0,0.10727392196655273,0.06076669752597809
108,8.0,0.08495121836662292,0.04926574528217316
109,11.0,0.1173611694574356,0.06753136098384857
110,12.0,0.12801034927368163,0.07395036458969116
111,9.0,0.09552999317646027,0.055698617100715636
112,12.0,0.1297145229578018,0.07512588500976562
113,9.0,0.0946248435974121,0.05638636112213135
114,18.0,0.1899074149131775,0.10468448340892791
115,10.0,0.10520159780979156,0.06444249927997589
116,8.0,0.08605569422245025,0.049255476593971254
117,11.0,0.12119277715682983,0.0781942981481552
118,11.0,0.1334143555164337,0.11776618838310242
119,8.0,0.10356544017791748,0.08507237017154694
120,11.0,0.14487860560417176,0.11684875965118408
121,13.0,0.1794973886013031,0.14141004383563996
122,8.0,0.1099150824546814,0.08475491225719452
123,9.0,0.12826967239379883,0.09737000107765198
124,9.0,0.128857239484787,0.09572207927703857
125,9.0,0.1277065944671631,0.0948373782634735
126,11.0,0.15689894795417786,0.11672423779964447
127,10.0,0.14437450289726259,0.10771342813968658
128,10.0,0.14348900318145752,0.10773369789123535
129,10.0,0.1411129641532898,0.10487854957580567
130,13.0,0.18457173585891723,0.13808968484401704
131,12.0,0.17751541256904602,0.12827163219451904
132,9.0,0.13139442086219788,0.09742182433605194
133,12.0,0.17732734203338624,0.12966546952724456
134,9.0,0.13135592579841615,0.0965258514881134
135,11.0,0.15818242549896241,0.11868911981582642
136,12.0,0.1746471953392029,0.12973447263240814
137,9.0,0.12848114371299743,0.09620050430297851
138,17.0,0.2541764318943024,0.18539975345134735
139,10.0,0.1447753918170929,0.10805720031261444
140,11.0,0.1552698290348053,0.1185833340883255
141,11.0,0.1612214934825897,0.12031432390213012
142,13.0,0.19294477939605714,0.1414966344833374
143,10.0,0.1473504674434662,0.10739710211753845
144,11.0,0.1609114110469818,0.11861281037330627
145,13.0,0.1917242991924286,0.1410691547393799
146,12.0,0.17562378764152528,0.12868869364261626
