episode,reward
1,20.0
2,14.0
3,19.0
4,16.0
5,13.0
6,18.0
7,14.0
8,16.0
9,14.0
10,19.0
11,14.0
12,18.0
13,19.0
14,19.0
15,13.0
16,16.0
17,17.0
18,15.0
19,15.0
20,18.0
21,16.0
22,14.0
23,18.0
24,19.0
25,18.0
26,20.0
27,16.0
28,17.0
29,17.0
30,16.0
31,12.0
32,16.0
33,14.0
34,19.0
35,14.0
36,18.0
37,19.0
38,19.0
39,14.0
40,16.0
41,14.0
42,19.0
43,19.0
44,17.0
45,19.0
46,17.0
47,19.0
48,19.0
49,13.0
50,14.0
51,15.0
52,16.0
53,19.0
54,14.0
55,19.0
56,15.0
57,14.0
58,19.0
59,16.0
60,18.0
61,15.0
62,19.0
63,15.0
64,18.0
65,13.0
66,19.0
67,12.0
68,20.0
69,20.0
70,19.0
71,14.0
72,18.0
73,17.0
74,18.0
75,17.0
76,19.0
77,16.0
78,16.0
79,19.0
80,14.0
81,16.0
82,14.0
83,14.0
84,17.0
85,13.0
86,15.0
87,20.0
88,17.0
89,15.0
90,17.0
91,16.0
92,12.0
93,17.0
94,16.0
95,18.0
96,15.0
97,14.0
98,19.0
99,17.0
100,14.0
